file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,112,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,7
style.css,113,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,15
style.css,114,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,14
style.css,115,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,8
style.css,116,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,64
style.css,117,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,19
style.css,118,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,119,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,12
style.css,120,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,57
style.css,121,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,15
style.css,122,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,49
style.css,123,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,124,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,125,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,10
style.css,126,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,12
style.css,127,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,18
style.css,128,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,9
style.css,129,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,20
style.css,130,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,21
style.css,131,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,59
style.css,132,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,48
style.css,133,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,29
style.css,134,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,14
style.css,135,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,136,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,137,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,18
style.css,138,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,9
style.css,139,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,18
style.css,140,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,19
style.css,141,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,20
style.css,142,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,23
style.css,143,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,144,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,145,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,16
style.css,146,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,63
style.css,147,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,148,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,149,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,35
style.css,150,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,51
style.css,151,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,11
style.css,152,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,153,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,154,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,23
style.css,155,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,14
style.css,156,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,16
style.css,157,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,158,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,159,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,32
style.css,160,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,9
style.css,161,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,58
style.css,162,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,163,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,54
style.css,164,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,19
style.css,165,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,26
style.css,166,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,60
style.css,167,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,168,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,169,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,26
style.css,170,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,18
style.css,171,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,17
style.css,172,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,0
style.css,173,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,0,10
style.css,174,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,22
style.css,175,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,20
style.css,176,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,19
style.css,177,css,f37d20fd,mkalsi13,2025-10-31,19:36:38,-07:00,2025-10-31T19:36:38-07:00,1,64
